Data,AUD,BGN,CAD,CHF,CZK,DKK,EGP,EUR,GBP,100 HUF,100 JPY,MDL,NOK,PLN,RUB,SEK,TRY,USD,ZAR,BRL,CNY,INR,100 KRW,MXN,NZD,RSD,UAH,AED,HRK,THB,XAU,XDR

10.07.2023,2.9987,2.5316,3.398,5.0765,0.2076,0.6646,0.146,4.9514,5.7847,1.2906,3.1684,0.2477,0.428,1.1098,0.0491,0.417,0.1731,4.5134,0.2404,0.9263,0.6238,0.0546,0.3461,0.2639,2.7921,0.0422,0.1222,1.2288,,0.1284,279.1513,6.04
07.07.2023,3.023,2.5329,3.4045,5.0829,0.207,0.6648,0.1473,4.954,5.8033,1.278,3.1811,0.2479,0.4232,1.1055,0.0496,0.4168,0.1747,4.551,0.2378,0.925,0.629,0.055,0.3486,0.263,2.8118,0.0423,0.1233,1.239,,0.1293,280.4271,6.0716
06.07.2023,3.0357,2.5312,3.4273,5.0763,0.2079,0.6646,0.1475,4.9507,5.7998,1.293,3.1622,0.2476,0.4247,1.1051,0.0492,0.4151,0.1746,4.557,0.2404,0.9398,0.6291,0.0553,0.3494,0.2671,2.8207,0.0422,0.1234,1.2408,,0.1299,280.8698,6.071
05.07.2023,3.0321,2.5295,3.423,5.0557,0.2081,0.6643,0.1467,4.9473,5.7731,1.3102,3.1479,0.2472,0.4251,1.112,0.0501,0.4182,0.1741,4.5415,0.2422,0.938,0.627,0.0552,0.3492,0.2665,2.8158,0.0422,0.123,1.2364,,0.1303,281.4778,6.0545
04.07.2023,3.0367,2.531,3.4321,5.0733,0.2086,0.6647,0.1469,4.9503,5.7676,1.3193,3.1462,0.2475,0.4261,1.1189,0.0507,0.4196,0.1743,4.5426,0.2428,0.9448,0.6293,0.0554,0.3495,0.2669,2.8076,0.0422,0.123,1.2367,,0.1302,281.8673,6.0581
03.07.2023,3.0274,2.5317,3.4303,5.0551,0.2086,0.6649,0.1472,4.9517,5.7652,1.3246,3.1473,0.2493,0.4235,1.1171,0.0512,0.4197,0.1747,4.5495,0.2427,0.9506,0.6279,0.0555,0.3483,0.2659,2.7965,0.0423,0.1232,1.2387,,0.1292,279.852,6.0609
30.06.2023,3.0299,2.5377,3.4515,5.0769,0.209,0.6665,0.1481,4.9634,5.7822,1.3371,3.1614,0.2486,0.4257,1.1154,0.0519,0.4206,0.1755,4.575,0.2415,0.942,0.6299,0.0558,0.346,0.268,2.7829,0.0423,0.1239,1.2456,,0.1291,280.131,6.0855
29.06.2023,3.0078,2.5383,3.4272,5.0727,0.2096,0.6666,0.1472,4.9644,5.7505,1.3384,3.1498,0.2483,0.4216,1.1141,0.0523,0.4209,0.1745,4.5478,0.2434,0.9373,0.6279,0.0554,0.3455,0.2663,2.7621,0.0424,0.1232,1.2382,,0.1276,278.573,6.0639
28.06.2023,3.0053,2.5351,3.4246,5.0561,0.2095,0.6658,0.1465,4.9583,5.7514,1.3377,3.144,0.2488,0.4205,1.1114,0.0526,0.4215,0.174,4.5277,0.2432,0.9409,0.625,0.0552,0.346,0.2656,2.7588,0.0423,0.1226,1.2327,,0.1273,277.6855,6.0461
27.06.2023,3.0352,2.5376,3.4512,5.0687,0.2102,0.6664,0.1468,4.963,5.7686,1.3454,3.1538,0.2507,0.4219,1.1208,0.0534,0.423,0.1742,4.5361,0.2456,0.9512,0.6283,0.0553,0.3482,0.2652,2.8021,0.0423,0.1228,1.235,,0.1286,280.6725,6.0591
